base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.9,0.102,0.28,0.0,0.74,0.0,0.0,0.26,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.358,0.092,0.3,0.9,0.0,0.0,0.02,0.0,0.06,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.734,0.103,0.4,0.84,0.0,0.0,0.04,0.0,0.12,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.017,0.118,0.5,0.96,0.0,0.0,0.02,0.0,0.02,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.288,0.105,0.46,0.0,0.8,0.08,0.0,0.12,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.725,0.129,0.48,0.86,0.0,0.0,0.04,0.0,0.04,0.04,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.185,0.1,0.4,0.8,0.0,0.0,0.12,0.0,0.04,0.02,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.192,0.102,0.44,0.0,0.86,0.1,0.0,0.0,0.0,0.02,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.838,0.119,0.6,0.0,0.9,0.02,0.0,0.04,0.0,0.04,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.163,0.098,0.42,0.0,0.84,0.04,0.04,0.0,0.0,0.08,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.755,0.142,0.5,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.012,0.122,0.5,0.94,0.0,0.0,0.02,0.0,0.0,0.0,0.04
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.074,0.097,0.46,0.78,0.0,0.0,0.02,0.0,0.14,0.0,0.06
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.698,0.092,0.34,0.86,0.0,0.04,0.04,0.0,0.0,0.0,0.06
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.312,0.106,0.36,0.0,0.96,0.02,0.0,0.0,0.0,0.02,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.146,0.116,0.48,0.0,0.82,0.14,0.0,0.0,0.0,0.04,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.377,0.113,0.48,0.84,0.0,0.0,0.06,0.0,0.02,0.0,0.08
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.401,0.119,0.42,0.82,0.0,0.0,0.12,0.0,0.04,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.293,0.129,0.4,0.9,0.0,0.0,0.04,0.02,0.04,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.139,0.113,0.38,0.0,0.92,0.0,0.0,0.06,0.0,0.02,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.771,0.103,0.42,0.0,0.94,0.0,0.0,0.06,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.655,0.106,0.6,0.0,0.9,0.02,0.0,0.06,0.02,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.141,0.113,0.5,0.0,0.72,0.08,0.0,0.02,0.02,0.16,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.551,0.102,0.44,0.0,0.86,0.0,0.0,0.08,0.0,0.06,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.0,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.158,0.113,0.48,0.96,0.0,0.0,0.02,0.0,0.0,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.803,0.097,0.44,0.0,0.8,0.06,0.0,0.08,0.0,0.06,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.046,0.118,0.48,0.0,0.82,0.08,0.0,0.06,0.0,0.04,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.071,0.124,0.38,0.9,0.0,0.0,0.02,0.0,0.08,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.464,0.121,0.44,0.0,0.82,0.12,0.0,0.0,0.06,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.01,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.877,0.108,0.42,0.86,0.0,0.0,0.02,0.0,0.1,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.888,0.116,0.66,0.92,0.0,0.0,0.04,0.0,0.02,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.01,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.755,0.116,0.42,0.86,0.0,0.02,0.08,0.0,0.0,0.0,0.04
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.326,0.106,0.44,0.0,0.98,0.02,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.097,0.103,0.52,0.0,0.76,0.18,0.0,0.0,0.0,0.06,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.337,0.09,0.44,0.0,0.82,0.16,0.0,0.02,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.409,0.105,0.4,0.66,0.24,0.0,0.04,0.0,0.06,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.15,0.124,0.5,0.0,0.96,0.0,0.0,0.0,0.0,0.02,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.01,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.032,0.105,0.42,0.88,0.0,0.02,0.02,0.0,0.06,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.123,0.14,0.54,0.0,0.86,0.14,0.0,0.0,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.01,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.866,0.097,0.46,0.0,0.72,0.14,0.0,0.06,0.0,0.08,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.01,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.075,0.098,0.32,0.94,0.0,0.0,0.0,0.0,0.06,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.01,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.062,0.11,0.34,0.54,0.3,0.04,0.04,0.02,0.02,0.04,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.265,0.127,0.36,0.0,0.66,0.08,0.0,0.26,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.05,action,5,1,1.0,750,0.0,1.0,0.0,1.0,8.727,0.114,0.5,0.8,0.0,0.04,0.04,0.0,0.08,0.0,0.04
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,3000,2.0,0.01,0.01,0.0,0.2,0.0,0.01,action,5,1,1.0,750,0.0,1.0,0.0,1.0,9.388,0.121,0.4,0.96,0.0,0.0,0.02,0.0,0.0,0.0,0.02
